"uid","pid","tstamp","crdate","cruser_id","deleted","hidden","starttime","endtime","sys_language_uid","l10n_parent","l10n_state","l10n_diffsource","t3ver_oid","t3ver_id","t3ver_label","t3ver_wsid","t3ver_state","t3ver_stage","t3ver_count","t3ver_tstamp","t3ver_move_id","gnd_id","first_composer","intertextual_entity","title","date_of_production","geographic_area_code","zzz_deleted_instrumentation","geographical_area_code","super_work","opus_no","index_no","medium_of_performance","unmodified_gnd_data","zzz_deleted_added_by_project","instruments","gnd_status","form","title_no","title_instrument","alt_titles","tonality","language","final","confirmed_by_slub","zzz_deleted_alt_instrument_ids","genre_ids","main_instrumentation","alt_instrumentation","genres","instrument_ids","alt_instrument_names"
"65","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217732691","89","0","Stücke","1809-01-01",,,,"0","53",,,"1","0","1",,"1",,"Orgel","Orgelstücke",,,"2","1",,"7727983-9","0","0","1",,
"66","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217733450","180","0","Quartette",NULL,,,,"1665","20, Nr. 3",,,"1","0","3","n","1",,"Violoncello",,"f-Moll",,"2","1",,"4176618-0","0","0","1",,
"67","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","300772939","91","0","Sonaten","1806-01-01",,,,"0","39",,,"1","0","1",,"1",,"Klavier","Sonaten, Kl op. 39 $ Sonaten für Klavier g-Moll op. 39","g-Moll",,"2","1",,"4131190-5","0","0","1",,
"68","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1081176199","91","0","Polonaisen","1803-01-01",,,,"0","19",,,"1","0","1","q","1",,"Klavier, 4-händig","Polonaisen $ Polonaise à quatre mains $ Polonoise for Piano 4-Hands","B-Dur",,"2","1",,"4209517-7","0","0","1",,
"69","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217734562","128","0","Gesänge","1808-01-01",,,,"0","25",,,"1","0","2","p","1",,,"Gesänge",,,"2","1",,"4020470-4","0","0","1",,
"70","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217738134","1001","0","Das Waisenhaus","1808-01-01",,,,"1644",,,,"1","0","1","n","1",,,,,,"2","1",,"4172996-1","0","0","1",,
"71","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217738835","93","0","Gesänge",NULL,,,,"0","11",,,"1","0","2",,"1",,,,,,"2","1",,"4020470-4","0","0","1",,
"72","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1075385601","91","0","Tokkaten","1806-01-01",,,,"0","46",,,"1","0","1",,"1",,"Klavier","Tokkaten $ Toccata","c-Moll",,"2","1",,"4185619-3","0","0","1",,
"73","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217739246","95","0","Hans an Liesel","1809-01-01",,,,"0",,,,"1","0","2","n","1",,,"Ein thüringisches Bauernlied $ Nu, Herze Liesel, kumm doch",,,"2","1",,"4035669-3","0","0","1",,
"74","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","121773967X","96","0","Übungsstücke für angehende Spieler",NULL,,,,"0",,,,"1","0","1",,"1",,,"Übungen",,,"2","1",,"4123166-1","0","0","1",,
